

Filial	 	
062 - PR LONDRINA CT
 	Grupo	 	

TODOS
Data Movimento	 	
26/08/2022
  e  
26/08/2022
 	 Departamento	 	

TODOS
Layout para impressão.
 
 
  Resultado da Pesquisa : ( 84 Regs. )  


Grupo	Departamento	Outras Vendas	Cartão Riachuelo	Devoluções	Vendas Líquidas	%Vendas Depto s/ grupo	Venda Física	Total Desc	Cota	%Venda s/ Cota	Venda Líquida Acumulada	Cota Acumulada	%Venda Acum. / Cota
1	100-Bebe Meninas	139,70	117,82	0,00	257,52	4,20	5	21,98	 	 	-231,58	 	 
1	101-Carters	0,00	221,66	0,00	221,66	3,61	2	28,14	 	 	-636,22	 	 
1	102-Bebe Meninos	149,80	460,76	119,90	490,66	8,00	11	58,34	 	 	141,46	 	 
1	105-Primeiros Passos Meninas	259,50	341,92	0,00	601,42	9,81	12	37,38	 	 	-7,38	 	 
1	106-Primeiros Passos Meninos	355,10	163,04	0,00	518,14	8,45	13	32,56	 	 	-40,76	 	 
1	110-Infantil Meninas	249,60	197,36	0,00	446,96	7,29	7	12,34	 	 	-626,05	 	 
1	115-Infantil Meninos	89,80	73,67	0,00	163,47	2,67	5	62,03	 	 	-619,78	 	 
1	120-Juvenil Meninas	69,80	173,65	0,00	243,45	3,97	6	25,95	 	 	-585,05	 	 
1	125-Juvenil Meninos	49,90	369,41	0,00	419,31	6,84	7	49,99	 	 	-898,59	 	 
1	130-Inf. Juv. Acess=rios	0,00	51,52	0,00	51,52	0,84	1	8,38	 	 	-78,18	 	 
1	131-Praia Infantil	195,60	323,10	0,00	518,70	8,46	10	16,30	 	 	319,00	 	 
1	135-Moda Intima Inf.Jv	135,60	102,61	0,00	238,21	3,88	9	18,89	 	 	108,51	 	 
1	142-Inf Meninas Licenc	59,80	348,57	0,00	408,37	6,66	11	26,53	 	 	69,17	 	 
1	145-Inf Meninos Licenciados	229,50	126,54	49,90	306,14	4,99	8	19,16	 	 	16,74	 	 
1	150-Inf Jeans Meninas	359,70	178,18	0,00	537,88	8,77	5	1,62	 	 	-950,62	 	 
1	151-Inf Jeans Meninos	439,60	100,92	89,90	450,62	7,35	6	18,88	 	 	-379,70	 	 
1	165-Inf. Pijamas	0,00	318,25	76,14	242,11	3,95	5	71,25	 	 	-7,59	 	 
1	175-Inf. Meias e Pantufas	75,70	0,00	59,80	15,90	0,26	3	0,00	 	 	-39,90	 	 
TOTAL GRUPO		2.858,70	3.668,98	395,64	6.132,04	11,00	126	509,72	0,00	0,00	-4.446,52	0,00	0,00
2	200-Fem Jovem Casual	329,70	609,38	69,80	869,28	3,91	13	29,62	 	 	-2.447,22	 	 
2	204-Fem Licenciados	259,60	39,92	0,00	299,52	1,35	5	9,98	 	 	50,02	 	 
2	205-Fem Jovem Urbano	159,60	117,20	0,00	276,80	1,25	8	12,40	 	 	-1.290,40	 	 
2	206-Fem. Jeanseria	1.299,19	262,57	299,80	1.261,96	5,68	11	37,23	 	 	-2.175,36	 	 
2	208-Fem. Bßsicos	1.104,50	697,62	189,70	1.612,42	7,25	29	44,98	 	 	-1.684,92	 	 
2	216-Fem Jeans Adulto Urbano	159,90	127,61	0,00	287,51	1,29	2	12,29	 	 	-1.720,60	 	 
2	217-Fem Jeans Adulto Casual	1.069,40	596,26	0,00	1.665,66	7,49	10	33,34	 	 	186,10	 	 
2	225-Neo Dia	911,10	439,06	121,70	1.228,46	5,53	37	106,14	 	 	587,76	 	 
2	226-Fem Jeans Jovem Urbano	229,70	182,48	0,00	412,18	1,85	4	17,42	 	 	-347,32	 	 
2	227-Fem Jeans Jovem Casual	299,80	648,80	0,00	948,60	4,27	8	70,60	 	 	-424,39	 	 
2	230-AK	3.212,64	3.602,33	616,04	6.198,93	27,88	92	325,83	 	 	-12.485,20	 	 
2	235-Fem. Ginßstica	549,20	831,95	287,43	1.093,72	4,92	24	64,65	 	 	-2.008,62	 	 
2	240-Fem. Praia	319,70	181,73	249,70	251,73	1,13	6	17,97	 	 	-592,05	 	 
2	245-Grandes Marcas	1.018,00	421,89	0,00	1.439,89	6,48	28	33,31	 	 	1.124,49	 	 
2	255-Fem. Acess=rios	0,00	46,82	0,00	46,82	0,21	1	3,08	 	 	6,92	 	 
2	265-Jovem Noite	629,10	118,11	179,70	567,51	2,55	11	31,69	 	 	-2.146,91	 	 
2	275-Meias Femininas	314,99	338,14	59,80	593,33	2,67	23	30,57	 	 	447,73	 	 
2	290-Fem. Plus Size	837,32	692,10	47,92	1.481,50	6,66	13	49,28	 	 	272,60	 	 
2	550-Rel=gios	0,00	749,70	0,00	749,70	3,37	3	0,00	 	 	-1.019,60	 	 
2	560-Bijuteria	69,80	77,13	0,00	146,93	0,66	4	2,67	 	 	146,93	 	 
2	565-+culos	79,90	72,88	0,00	152,78	0,69	2	7,02	 	 	88,02	 	 
2	572-Basket	294,55	510,21	159,60	645,16	2,90	36	43,64	 	 	645,16	 	 
TOTAL GRUPO		13.147,69	11.363,89	2.281,19	22.230,39	39,89	370	983,71	0,00	0,00	-24.786,86	0,00	0,00
3	305-Masc. Jovem Urbano	341,81	679,69	227,70	793,80	7,16	17	166,80	 	 	-1.910,51	 	 
3	306-Masc. Licenciados	379,30	113,43	0,00	492,73	4,45	9	16,37	 	 	372,93	 	 
3	310-Masc. Esportes	326,36	218,90	69,90	475,36	4,29	13	93,44	 	 	-1.001,94	 	 
